"are some things i really",2,"are some things i","really"
"are some things that come",2,"are some things that","come"
"are some things that you",2,"are some things that","you"
"are some things you do",2,"are some things you","do"
"are starting to feel a",2,"are starting to feel","a"
"are starting to turntalking about",2,"are starting to turntalking","about"
"are still subject to the",2,"are still subject to","the"
"are talking about a lot",2,"are talking about a","lot"
"are the best way to",2,"are the best way","to"
"are the building blocks of",2,"are the building blocks","of"
"are the first thing you",2,"are the first thing","you"
"are the kinds of things",2,"are the kinds of","things"
"are the links to the",2,"are the links to","the"
"are the most important things",2,"are the most important","things"
"are the ones that have",2,"are the ones that","have"
"are the ones we have",2,"are the ones we","have"
"are the ones where you",2,"are the ones where","you"
"are the ones who are",2,"are the ones who","are"
"are the ones who have",2,"are the ones who","have"
"are the only ones that",2,"are the only ones","that"
"are the owner of the",2,"are the owner of","the"
"are the reasons why i",2,"are the reasons why","i"
"are the result of a",2,"are the result of","a"
"are the rules for the",2,"are the rules for","the"
"are those of the agents",2,"are those of the","agents"
"are throwing the ball all",2,"are throwing the ball","all"
"are times when i dont",2,"are times when i","dont"
"are to be centered on",2,"are to be centered","on"
"are told that this is",2,"are told that this","is"
"are truly blessed to be",2,"are truly blessed to","be"
"are trying to find a",2,"are trying to find","a"
"are unleavened for even our",2,"are unleavened for even","our"
"are up in arms because",2,"are up in arms","because"
"are using the old interface",2,"are using the old","interface"
"are very different from the",2,"are very different from","the"
"are very important to us",2,"are very important to","us"
"are very much out of",2,"are very much out","of"
"are very pleased with the",2,"are very pleased with","the"
"are very proud of her",2,"are very proud of","her"
"are waiting to see the",2,"are waiting to see","the"
"are we going to do",2,"are we going to","do"
"are we not all mothers",2,"are we not all","mothers"
"are we supposed to have",2,"are we supposed to","have"
"are we talking about here",2,"are we talking about","here"
"are well known for their",2,"are well known for","their"
"are what make this book",2,"are what make this","book"
"are willing to bear with",2,"are willing to bear","with"
"are willing to work for",2,"are willing to work","for"
"are writing guest posts for",2,"are writing guest posts","for"
"are ye saved through and",2,"are ye saved through","and"
"are you a fan of",2,"are you a fan","of"
"are you currently working on",2,"are you currently working","on"
"are you doing this to",2,"are you doing this","to"
"are you going to get",2,"are you going to","get"
"are you going to make",2,"are you going to","make"
"are you making fun of",2,"are you making fun","of"
"are you ready for some",2,"are you ready for","some"
"are you ready for this",2,"are you ready for","this"
"are you sure you want",2,"are you sure you","want"
"are you working on anything",2,"are you working on","anything"
"are your thoughts on the",2,"are your thoughts on","the"
"are your ways my ways",2,"are your ways my","ways"
"area a couple of times",2,"area a couple of","times"
"area council for fine arts",2,"area council for fine","arts"
"area have tax issues on",2,"area have tax issues","on"
"area highway d defiance event",2,"area highway d defiance","event"
"area of clarys forest in",2,"area of clarys forest","in"
"areas is not often one",2,"areas is not often","one"
"arent a fan of the",2,"arent a fan of","the"
"arent quite as fit as",2,"arent quite as fit","as"
"arguably one of the most",2,"arguably one of the","most"
"argued that the bill would",2,"argued that the bill","would"
"arguments put forward by the",2,"arguments put forward by","the"
"arizona department of public safety",2,"arizona department of public","safety"
"arizona game and fish department",2,"arizona game and fish","department"
"arizona limitedliability company whose members",2,"arizona limitedliability company whose","members"
"arms down by his side",2,"arms down by his","side"
"arms embargo that will weaken",2,"arms embargo that will","weaken"
"around and its time to",2,"around and its time","to"
"around for a while and",2,"around for a while","and"
"around for years and it",2,"around for years and","it"
"around in your head and",2,"around in your head","and"
"around like a chicken with",2,"around like a chicken","with"
"around sl st to top",2,"around sl st to","top"
"around the area of the",2,"around the area of","the"
"around the back of the",2,"around the back of","the"
"around the clock while the",2,"around the clock while","the"
"around the corner and that",2,"around the corner and","that"
"around the corner and the",2,"around the corner and","the"
"around the corner from the",2,"around the corner from","the"
"around the country including one",2,"around the country including","one"
"around the dining room table",2,"around the dining room","table"
"around the door of the",2,"around the door of","the"
"around the league with some",2,"around the league with","some"
"around the rest of the",2,"around the rest of","the"
"around the time of the",2,"around the time of","the"
"around the world i dont",2,"around the world i","dont"
"around the world in days",2,"around the world in","days"
"around the world it is",2,"around the world it","is"
"around the world will be",2,"around the world will","be"
"around to last dc dc",2,"around to last dc","dc"
"arrested and given disorderly conduct",2,"arrested and given disorderly","conduct"
"arrested in connection with the",2,"arrested in connection with","the"
"arrested on suspicion of driving",2,"arrested on suspicion of","driving"
"arrested on the charge of",2,"arrested on the charge","of"
"arrests there is no such",2,"arrests there is no","such"
"arrive at the hospital and",2,"arrive at the hospital","and"
"article a of ecb decision",2,"article a of ecb","decision"
"article of the regulation the",2,"article of the regulation","the"
"article originally posted at am",2,"article originally posted at","am"
"artist in all of us",2,"artist in all of","us"
"artists in the s and",2,"artists in the s","and"
"artists village as a place",2,"artists village as a","place"
"as a board member of",2,"as a board member","of"
"as a couple it was",2,"as a couple it","was"
"as a cry for help",2,"as a cry for","help"
"as a description of the",2,"as a description of","the"
"as a design team member",2,"as a design team","member"
"as a follower of i",2,"as a follower of","i"
"as a former member of",2,"as a former member","of"
"as a former scouting director",2,"as a former scouting","director"
